ID|MUID|VersionName|VersionNumber|VersionFlag|PCOR_Value_Sub|PCOR Value Definition_Sub|Code|PCOR_Value_ID|ChangeTrackingMask|CDM_Version_ID|PCOR_Table_ID|PCOR_Column_ID|Concept ID|Concept Code|Domain_ID|Vocabulary_ID|Concept_Class_id|Standard_concept|EnterDateTime|EnterVersionNumber|LastChgDateTime|LastChgVersionNumber|ValidationStatus
1|{6AFDD517-49FF-4C1C-9653-1B9533FD794B}|VERSION_1|1||ALLERGY & IMMUNOLOGY |ALLERGY & IMMUNOLOGY|1|1|0|501|1|13|38003829|207K00000X|Provider|NUCC|NUCC|Standard_concept|2019-09-23 20:02:33.673|1|2019-09-24 17:09:00.100|1|Validation Succeeded
2|{96D36D0D-7F56-4746-AF73-80B1145F5B65}|VERSION_1|1||ANESTHESIOLOGY |ANESTHESIOLOGY|2|2|0|501|1|13|38003832|207L0000X|Provider|NUCC|NUCC|Standard_concept|2019-09-23 20:02:33.673|1|2019-09-24 17:09:00.100|1|Validation Succeeded
3|{AD34E9E1-A43C-4386-80FF-404B16E813EC}|VERSION_1|1||ANESTHESIOLOGY PEDIATRIC ANESTHESIOLOGY|ANESTHESIOLOGY PEDIATRIC ANESTHESIOLOGY|3|3|0|501|1|13|38003837|207LP3000X|Provider|NUCC|NUCC|Standard_concept|2019-09-23 20:02:33.673|1|2019-09-24 17:09:00.100|1|Validation Succeeded
4|{EDFDB3DF-1F38-443B-8191-362F6B71435A}|VERSION_1|1||AUDIOLOGIST |AUDIOLOGIST|4|4|0|501|1|13|38004119|231H00000X|Provider|NUCC|NUCC|Standard_concept|2019-09-23 20:02:33.673|1|2019-09-24 17:09:00.100|1|Validation Succeeded
5|{8CD3A17F-CC72-48C5-8FB7-C494A2CE9D8D}|VERSION_1|1||CHIROPRACTOR |CHIROPRACTOR|5|5|0|501|1|13|38003660|111N00000X|Provider|NUCC|NUCC|Standard_concept|2019-09-23 20:02:33.673|1|2019-09-24 17:09:00.100|1|Validation Succeeded
6|{81182D41-617A-467A-8C0E-2DF84239BDF3}|VERSION_1|1||CLINICAL NURSE SPECIALIST |CLINICAL NURSE SPECIALIST|6|6|0|501|1|13|38004390|364S00000X|Provider|NUCC|NUCC|Standard_concept|2019-09-23 20:02:33.673|1|2019-09-24 17:09:00.100|1|Validation Succeeded
7|{19F98A2D-3DC0-4717-8DD9-620BAE343DFF}|VERSION_1|1||CLINICAL NURSE SPECIALIST TRANSPLANTATION|CLINICAL NURSE SPECIALIST TRANSPLANTATION|7|7|0|501|1|13|38004419|364ST0500X|Provider|NUCC|NUCC|Standard_concept|2019-09-23 20:02:33.673|1|2019-09-24 17:09:00.100|1|Validation Succeeded
8|{4E038E61-DD66-4135-9567-D3926B76C5CD}|VERSION_1|1||COLON & RECTAL SURGERY |COLON & RECTAL SURGERY|8|8|0|501|1|13|38004021|208C00000X|Provider|NUCC|NUCC|Standard_concept|2019-09-23 20:02:33.673|1|2019-09-24 17:09:00.100|1|Validation Succeeded
9|{7ED35C51-0254-4E52-89C2-596AC9F188C3}|VERSION_1|1||DENTIST |DENTIST|9|9|0|501|1|13|38003672|122300000X|Provider|NUCC|NUCC|Standard_concept|2019-09-23 20:02:33.673|1|2019-09-24 17:09:00.100|1|Validation Succeeded
10|{C2E84D94-A1B7-40E7-810B-32146A21F262}|VERSION_1|1||DENTIST PERIODONTICS|DENTIST PERIODONTICS|10|10|0|501|1|13|38003678|1223P0300X|Provider|NUCC|NUCC|Standard_concept|2019-09-23 20:02:33.673|1|2019-09-24 17:09:00.100|1|Validation Succeeded
